city,date,temp,feels_like,humidity,wind_speed,timestamp
Los Angeles,2021-01-01,62.51,62.28,81,13.8,1763404730
New York,2021-01-01,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-01,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-02,62.51,62.28,81,13.8,1763404730
New York,2021-01-02,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-02,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-03,62.51,62.28,81,13.8,1763404730
New York,2021-01-03,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-03,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-04,62.51,62.28,81,13.8,1763404730
New York,2021-01-04,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-04,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-05,62.51,62.28,81,13.8,1763404730
New York,2021-01-05,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-05,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-06,62.51,62.28,81,13.8,1763404730
New York,2021-01-06,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-06,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-07,62.51,62.28,81,13.8,1763404730
New York,2021-01-07,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-07,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-08,62.51,62.28,81,13.8,1763404730
New York,2021-01-08,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-08,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-09,62.51,62.28,81,13.8,1763404730
New York,2021-01-09,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-09,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-10,62.51,62.28,81,13.8,1763404730
New York,2021-01-10,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-10,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-11,62.51,62.28,81,13.8,1763404730
New York,2021-01-11,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-11,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-12,62.51,62.28,81,13.8,1763404730
New York,2021-01-12,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-12,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-13,62.51,62.28,81,13.8,1763404730
New York,2021-01-13,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-13,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-14,62.51,62.28,81,13.8,1763404730
New York,2021-01-14,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-14,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-15,62.51,62.28,81,13.8,1763404730
New York,2021-01-15,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-15,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-16,62.51,62.28,81,13.8,1763404730
New York,2021-01-16,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-16,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-17,62.51,62.28,81,13.8,1763404730
New York,2021-01-17,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-17,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-18,62.51,62.28,81,13.8,1763404730
New York,2021-01-18,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-18,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-19,62.51,62.28,81,13.8,1763404730
New York,2021-01-19,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-19,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-20,62.51,62.28,81,13.8,1763404730
New York,2021-01-20,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-20,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-21,62.51,62.28,81,13.8,1763404730
New York,2021-01-21,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-21,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-01-22,62.51,62.28,81,13.8,1763404730
New York,2021-01-22,43.86,34.2,42,27.0,1763404799
Tampa,2021-01-22,79.7,79.7,67,8.05,1763404531
